,Tanggal,Rataan Ketinggian Air Laut
596,2022-08-20,199.5
597,2022-08-21,197.25
598,2022-08-22,189.54166666666666
599,2022-08-23,192.33333333333334
600,2022-08-24,193.33333333333334
601,2022-08-25,186.70833333333334
602,2022-08-26,189.70833333333334
603,2022-08-27,198.66666666666666
604,2022-08-28,197.25
605,2022-08-29,191.16666666666666
606,2022-08-30,189.41666666666666
607,2022-08-31,186.41666666666666
608,2022-09-01,198.58333333333334
609,2022-09-02,193.33333333333334
610,2022-09-03,188.58333333333334
611,2022-09-04,183.54166666666666
612,2022-09-05,185.20833333333334
613,2022-09-06,190.08333333333334
614,2022-09-07,195.875
615,2022-09-08,191.45833333333334
616,2022-09-09,186.29166666666666
617,2022-09-10,188.33333333333334
618,2022-09-11,187.91666666666666
619,2022-09-12,196.04166666666666
620,2022-09-13,191.70833333333334
621,2022-09-14,189.25
622,2022-09-15,186.875
623,2022-09-16,191.75
624,2022-09-17,190.45833333333334
625,2022-09-18,185.66666666666666
626,2022-09-19,198.875
627,2022-09-20,186.0
628,2022-09-21,185.58333333333334
629,2022-09-22,184.45833333333334
630,2022-09-23,186.45833333333334
631,2022-09-24,186.16666666666666
632,2022-09-25,187.75
633,2022-09-26,190.125
634,2022-09-27,190.66666666666666
635,2022-09-28,195.08333333333334
636,2022-09-29,196.08333333333334
637,2022-09-30,199.66666666666666
638,2022-10-01,199.29166666666666
639,2022-10-02,192.33333333333334
640,2022-10-03,186.54166666666666
641,2022-10-04,185.70833333333334
642,2022-10-05,186.0
643,2022-10-06,189.08333333333334
644,2022-10-07,186.25
645,2022-10-08,181.0
646,2022-10-09,182.375
647,2022-10-10,185.70833333333334
648,2022-10-11,185.75
649,2022-10-12,190.04166666666666
650,2022-10-13,186.91666666666666
651,2022-10-14,190.79166666666666
652,2022-10-15,191.125
653,2022-10-16,188.75
654,2022-10-17,193.20833333333334
655,2022-10-18,189.875
656,2022-10-19,188.16666666666666
657,2022-10-20,187.83333333333334
658,2022-10-21,184.875
659,2022-10-22,190.04166666666666
660,2022-10-23,190.875
661,2022-10-24,177.0
662,2022-10-25,182.33333333333334
663,2022-10-26,176.875
664,2022-10-27,180.58333333333334
665,2022-10-28,189.625
666,2022-10-29,192.75
667,2022-10-30,200.29166666666666
668,2022-10-31,197.70833333333334
669,2022-11-01,189.45833333333334
670,2022-11-02,188.29166666666666
671,2022-11-03,191.75
672,2022-11-04,188.79166666666666
673,2022-11-05,186.66666666666666
674,2022-11-06,195.04166666666666
675,2022-11-07,186.33333333333334
676,2022-11-08,187.29166666666666
677,2022-11-09,192.54166666666666
678,2022-11-10,186.0
679,2022-11-11,188.79166666666666
680,2022-11-12,185.16666666666666
681,2022-11-13,187.66666666666666
682,2022-11-14,188.04166666666666
683,2022-11-15,188.79166666666666
684,2022-11-16,184.45833333333334
685,2022-11-17,188.5
686,2022-11-18,181.45833333333334
687,2022-11-19,188.625
688,2022-11-20,179.04166666666666
689,2022-11-21,179.0
690,2022-11-22,178.16666666666666
691,2022-11-23,191.0
692,2022-11-24,185.79166666666666
693,2022-11-25,196.375
694,2022-11-26,188.08333333333334
695,2022-11-27,194.41666666666666
696,2022-11-28,192.29166666666666
697,2022-11-29,192.54166666666666
698,2022-11-30,194.79166666666666
699,2022-12-01,194.04166666666666
700,2022-12-02,198.33333333333334
701,2022-12-03,191.91666666666666
702,2022-12-04,194.25
703,2022-12-05,195.91666666666666
704,2022-12-06,203.54166666666666
705,2022-12-07,195.125
706,2022-12-08,190.41666666666666
707,2022-12-09,185.54166666666666
708,2022-12-10,189.70833333333334
709,2022-12-11,183.70833333333334
710,2022-12-12,187.125
711,2022-12-13,184.04166666666666
712,2022-12-14,187.70833333333334
713,2022-12-15,192.41666666666666
714,2022-12-16,190.875
715,2022-12-17,190.41666666666666
716,2022-12-18,196.95833333333334
717,2022-12-19,200.70833333333334
718,2022-12-20,197.58333333333334
719,2022-12-21,195.41666666666666
720,2022-12-22,188.625
721,2022-12-23,171.20833333333334
722,2022-12-24,167.08333333333334
723,2022-12-25,187.375
724,2022-12-26,176.08333333333334
725,2022-12-27,173.45833333333334
726,2022-12-28,175.79166666666666
727,2022-12-29,176.70833333333334
728,2022-12-30,173.125
729,2022-12-31,181.16666666666666
730,2023-01-01,177.33333333333334
731,2023-01-02,171.04166666666666
732,2023-01-03,167.45833333333334
733,2023-01-04,169.66666666666666
734,2023-01-05,176.08333333333334
735,2023-01-06,178.70833333333334
736,2023-01-07,185.16666666666666
