,Tanggal,Minimum Ketinggian Air Laut
668,2022-10-31,144.0
669,2022-11-01,136.0
670,2022-11-02,136.0
671,2022-11-03,145.0
672,2022-11-04,154.0
673,2022-11-05,155.0
674,2022-11-06,170.0
675,2022-11-07,161.0
676,2022-11-08,153.0
677,2022-11-09,152.0
678,2022-11-10,145.0
679,2022-11-11,139.0
680,2022-11-12,141.0
681,2022-11-13,145.0
682,2022-11-14,142.0
683,2022-11-15,144.0
684,2022-11-16,146.0
685,2022-11-17,144.0
686,2022-11-18,148.0
687,2022-11-19,161.0
688,2022-11-20,158.0
689,2022-11-21,158.0
690,2022-11-22,147.0
691,2022-11-23,152.0
692,2022-11-24,140.0
693,2022-11-25,142.0
694,2022-11-26,132.0
695,2022-11-27,133.0
696,2022-11-28,139.0
697,2022-11-29,139.0
698,2022-11-30,144.0
699,2022-12-01,151.0
700,2022-12-02,167.0
701,2022-12-03,164.0
702,2022-12-04,164.0
703,2022-12-05,157.0
704,2022-12-06,159.0
705,2022-12-07,147.0
706,2022-12-08,141.0
707,2022-12-09,132.0
708,2022-12-10,144.0
709,2022-12-11,135.0
710,2022-12-12,139.0
711,2022-12-13,146.0
712,2022-12-14,153.0
713,2022-12-15,158.0
714,2022-12-16,159.0
715,2022-12-17,160.0
716,2022-12-18,169.0
717,2022-12-19,173.0
718,2022-12-20,166.0
719,2022-12-21,152.0
720,2022-12-22,127.0
721,2022-12-23,122.0
722,2022-12-24,120.0
723,2022-12-25,133.0
724,2022-12-26,132.0
725,2022-12-27,131.0
726,2022-12-28,138.0
727,2022-12-29,140.0
728,2022-12-30,148.0
729,2022-12-31,152.0
730,2023-01-01,143.0
731,2023-01-02,135.0
732,2023-01-03,133.0
733,2023-01-04,130.0
734,2023-01-05,138.0
735,2023-01-06,133.0
736,2023-01-07,140.0
737,2023-01-08,135.0
738,2023-01-09,146.0
739,2023-01-10,146.0
740,2023-01-11,157.0
741,2023-01-12,159.0
742,2023-01-13,164.0
743,2023-01-14,161.0
744,2023-01-15,164.0
745,2023-01-16,160.0
746,2023-01-17,148.0
747,2023-01-18,135.0
748,2023-01-19,123.0
749,2023-01-20,122.0
750,2023-01-21,129.0
751,2023-01-22,124.0
752,2023-01-23,129.0
753,2023-01-24,134.0
754,2023-01-25,136.0
755,2023-01-26,151.0
756,2023-01-27,158.0
757,2023-01-28,160.0
758,2023-01-29,161.0
759,2023-01-30,147.0
760,2023-01-31,137.0
761,2023-02-01,118.0
762,2023-02-02,143.0
763,2023-02-03,141.0
764,2023-02-04,145.0
765,2023-02-05,140.0
766,2023-02-06,147.0
767,2023-02-07,149.0
768,2023-02-08,157.0
769,2023-02-09,160.0
770,2023-02-10,166.0
771,2023-02-11,171.0
772,2023-02-12,155.0
773,2023-02-13,157.0
774,2023-02-14,149.0
775,2023-02-15,147.0
776,2023-02-16,140.0
777,2023-02-17,137.0
778,2023-02-18,137.0
779,2023-02-19,142.0
780,2023-02-20,140.0
781,2023-02-21,150.0
782,2023-02-22,147.0
783,2023-02-23,156.0
784,2023-02-24,158.0
785,2023-02-25,152.0
786,2023-02-26,149.0
787,2023-02-27,155.0
788,2023-02-28,145.0
789,2023-03-01,149.0
790,2023-03-02,129.0
791,2023-03-03,144.0
792,2023-03-04,140.0
793,2023-03-05,137.0
794,2023-03-06,142.0
795,2023-03-07,146.0
796,2023-03-08,143.0
797,2023-03-09,151.0
798,2023-03-10,156.0
799,2023-03-11,151.0
800,2023-03-12,151.0
801,2023-03-13,151.0
802,2023-03-14,161.0
803,2023-03-15,150.0
804,2023-03-16,150.0
805,2023-03-17,144.0
